company_name,ticker,exchanges,cik,erp_vendors,filing_count,sic_description,sic,category,address_city,address_state,address_zip,phone,website,keywords_found,filing_type,filed_date,biz_location,biz_state,inc_state,all_tickers,fiscal_year_end,address_street
"Salesforce, Inc.",CRM,NYSE,1108524,Salesforce,82,Services-Prepackaged Software,7372,Large accelerated filer,SAN FRANCISCO,CA,94105,415-901-7000,,"""Salesforce CRM"" | ""Salesforce platform"" | ""Sales Cloud"" | ""MuleSoft"" | ""Slack"" AND ""Salesforce""",10-Q,2026-03-02,"San Francisco, CA",CA,DE,CRM,0131,SALESFORCE TOWER
"Rimini Street, Inc.",RMNI,Nasdaq,1635282,SAP | Salesforce | Oracle,51,"Services-Business Services, NEC",7389,Accelerated filer,LAS VEGAS,NV,89135,(702) 839-9671,,"""SAP software"" | ""SAP enterprise"" | ""Sales Cloud"" | ""Service Cloud"" | ""MuleSoft"" | ""Oracle E-Business Suite"" | ""Oracle PeopleSoft""",10-K,2026-02-19,"Las Vegas, NV",NV,DE,RMNI,1231,1700 S. PAVILION CENTER DR.
"Zoom Video Communications, Inc.",ZM,Nasdaq,1585521,Salesforce | Oracle,46,"Services-Computer Programming, Data Processing, Etc.",7370,Large accelerated filer,SAN JOSE,CA,95113,(888) 799-9666,,"""Slack"" AND ""Salesforce"" | ""Oracle Cloud""",10-K,2026-02-27,"San Jose, CA",CA,DE,ZM,0131,"55 ALMADEN BOULEVARD, 6TH FLOOR"
ORACLE CORP,ORCL,"NYSE,NYSE",1341439,Oracle,34,Services-Prepackaged Software,7372,Large accelerated filer,AUSTIN,TX,78741,(737) 867-1000,,"""Oracle Cloud"" | ""Oracle Fusion"" | ""Oracle E-Business Suite""",10-K,2026-03-11,"Austin, TX",TX,,"ORCL,ORCL-PD",0531,2300 ORACLE WAY
ON24 INC.,ONTF,NYSE,1110611,Salesforce,33,Services-Prepackaged Software,7372,Accelerated filer<br>Emerging growth company,SAN FRANCISCO,CA,,(415) 369-8000,,"""Salesforce CRM"" | ""Service Cloud"" | ""Salesforce Marketing Cloud""",10-K,2026-03-12,"San Francisco, CA",CA,DE,ONTF,1231,"301 HOWARD STREET, SUITE 1100"
"Vertex, Inc.",VERX,Nasdaq,1806837,SAP | Salesforce,31,Services-Prepackaged Software,7372,Large accelerated filer,KING OF PRUSSIA,PA,19406,(800) 355-3500,,"""SAP Ariba"" | ""Service Cloud""",10-K,2026-02-24,"King of Prussia, PA",PA,DE,VERX,1231,2301 RENAISSANCE BOULEVARD
"RCM TECHNOLOGIES, INC.",RCMT,Nasdaq,700841,SAP,30,Services-Help Supply Services,7363,Accelerated filer<br>Smaller reporting company,PENNSAUKEN,NJ,08109-4613,8563564500,,"""SAP ERP"" | ""SAP system"" | ""SAP software""",10-Q,2025-11-06,"Pennsauken, NJ",NJ,NV,RCMT,0103,2500 MCCLELLAN AVENUE
DZS INC.,DZSI,,1101680,Oracle,29,Telephone & Telegraph Apparatus,3661,Accelerated filer<br>Smaller reporting company,PLANO,TX,75024,4693271531,,"""Oracle Cloud"" | ""Oracle system""",10-Q,2024-11-12,"Plano, TX",TX,DE,,1231,5700 TENNYSON PARKWAY
"HACKETT GROUP, INC.",HCKT,Nasdaq,1057379,SAP | Oracle,27,Services-Management Consulting Services,8742,Accelerated filer,MIAMI,FL,33131,3053758005,,"""SAP ERP"" | ""SAP software"" | ""Oracle ERP"" | ""Oracle Cloud""",10-K,2026-02-27,"Miami, FL",FL,FL,HCKT,1226,1001 BRICKELL BAY DRIVE
Seagate Technology Holdings plc,STX,Nasdaq,1137789,Salesforce,26,Computer Storage Devices,3572,Large accelerated filer,SINGAPORE,U0,739009,65 6412 5172,,"""Service Cloud""",10-K,2026-01-30,"Singapore, U0",U0,,STX,0627,121 WOODLANDS AVENUE 5
