company_name,ticker,cik,sic_description,sic,address_city,address_state,phone,website,filing_count,sap_keywords_found,filing_type,filed_date,biz_location,biz_state,inc_state,all_tickers,exchanges,fiscal_year_end,category,address_street,address_zip
"RCM TECHNOLOGIES, INC.",RCMT,700841,Services-Help Supply Services,7363,PENNSAUKEN,NJ,8563564500,,30,"""SAP ERP"" | ""SAP system"" | ""SAP software""",10-Q,2025-11-06,"Pennsauken, NJ",NJ,NV,RCMT,Nasdaq,0103,Accelerated filer<br>Smaller reporting company,2500 MCCLELLAN AVENUE,08109-4613
FULLER H B CO,FUL,39368,Adhesives & Sealants,2891,ST PAUL,MN,6126453401,,17,"""SAP S/4HANA"" | ""SAP implementation""",10-K,2026-03-26,"St Paul, MN",MN,MN,FUL,NYSE,1128,Large accelerated filer,1200 WILLOW LAKE BLVD,55110-5132
"Rimini Street, Inc.",RMNI,1635282,"Services-Business Services, NEC",7389,LAS VEGAS,NV,(702) 839-9671,,17,"""SAP software"" | ""SAP enterprise""",10-K,2026-02-19,"Las Vegas, NV",NV,DE,RMNI,Nasdaq,1231,Accelerated filer,1700 S. PAVILION CENTER DR.,89135
"HACKETT GROUP, INC.",HCKT,1057379,Services-Management Consulting Services,8742,MIAMI,FL,3053758005,,15,"""SAP ERP"" | ""SAP software""",10-K,2026-02-27,"Miami, FL",FL,FL,HCKT,Nasdaq,1226,Accelerated filer,1001 BRICKELL BAY DRIVE,33131
NOW Inc.,DNOW,1599617,Oil & Gas Field Machinery & Equipment,3533,HOUSTON,TX,281-823-4700,,15,"""SAP ERP"" | ""SAP enterprise""",10-K,2025-11-05,"Houston, TX",TX,DE,DNOW,NYSE,1231,Large accelerated filer,7402 NORTH ELDRIDGE PARKWAY,77041
"BLACKLINE, INC.",BL,1666134,Services-Prepackaged Software,7372,WOODLAND HILLS,CA,818-223-9008,,13,"""SAP ERP""",10-K,2026-02-26,"Woodland Hills, CA",CA,DE,BL,Nasdaq,1231,Large accelerated filer,21300 VICTORY BOULEVARD,91367
CAMPBELL'S Co,CPB,16732,Food and Kindred Products,2000,CAMDEN,NJ,8563424800,,13,"""SAP enterprise""",10-Q,2026-03-11,"Camden, NJ",NJ,NJ,CPB,Nasdaq,0803,Large accelerated filer,CAMPBELL PL,08103
"Vertex, Inc.",VERX,1806837,Services-Prepackaged Software,7372,KING OF PRUSSIA,PA,(800) 355-3500,,13,"""SAP Ariba""",10-K,2026-02-24,"King of Prussia, PA",PA,DE,VERX,Nasdaq,1231,Large accelerated filer,2301 RENAISSANCE BOULEVARD,19406
Huron Consulting Group Inc.,HURN,1289848,Services-Management Consulting Services,8742,CHICAGO,IL,(312) 583-8700,,13,"""SAP Concur""",10-Q,2026-02-24,"Chicago, IL",IL,DE,HURN,Nasdaq,1231,Large accelerated filer,550 WEST VAN BUREN STREET,60607
"e.l.f. Beauty, Inc.",ELF,1600033,"Perfumes, Cosmetics & Other Toilet Preparations",2844,OAKLAND,CA,(510) 778-7787,,12,"""SAP software"" | ""SAP implementation""",10-Q,2026-02-05,"Oakland, CA",CA,DE,ELF,NYSE,0331,Large accelerated filer,601 12TH STREET,
LANCASTER COLONY CORP,LANC,57515,"Canned, Frozen & Preservd Fruit, Veg & Food Specialties",2030,WESTERVILLE,OH,6142247141,,11,"""SAP S/4HANA""",10-Q,2025-08-21,"Westerville, OH",OH,OH,MZTI,Nasdaq,0630,Large accelerated filer,380 POLARIS PARKWAY,43082
Atlas Lithium Corp,ATLX,1540684,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),1400,BOCA RATON,FL,(833) 661-7900,,10,"""SAP enterprise"" | ""SAP implementation""",10-Q,2025-11-13,"Boca Raton, FL",FL,NV,ATLX,Nasdaq,1231,Non-accelerated filer<br>Smaller reporting company,1200 N FEDERAL HWY,33432
"PANACEA LIFE SCIENCES HOLDINGS, INC.",PLSH,1552189,Medicinal Chemicals & Botanical Products,2833,GREENWOOD VILLAGE,CO,561-455-4822,,9,"""SAP ERP"" | ""SAP system"" | ""SAP software""",10-K,2024-05-06,"Greenwood Village, CO",CO,NV,PLSH,OTC,1231,<br>Emerging growth company,5910 SOUTH UNIVERSITY BLVD,80121
Cenntro Inc.,CENN,1707919,Motor Vehicles & Passenger Car Bodies,3711,FREEHOLD,NJ,(732) 820-6757,,9,"""SAP S/4HANA"" | ""SAP HANA""",10-Q,2025-11-12,"Freehold, NJ",NJ,NV,CENN,Nasdaq,1231,Non-accelerated filer<br>Smaller reporting company<br>Emerging growth company,501 OKERSON ROAD,07728
WillScot Holdings Corp,WSC,1647088,Services-Miscellaneous Equipment Rental & Leasing,7350,SCOTTSDALE,AZ,480-894-6311,,8,"""SAP ERP"" | ""SAP enterprise""",10-K,2026-02-19,"Scottsdale, AZ",AZ,DE,WSC,Nasdaq,1231,Large accelerated filer,6400 EAST MCDOWELL ROAD,85257
CINTAS CORP,CTAS,723254,"Men's & Boys' Furnishgs, Work Clothg, & Allied Garments",2320,CINCINNATI,OH,5134591200,,7,"""SAP enterprise"" | ""SAP implementation""",10-K,2025-07-28,"Cincinnati, OH",OH,WA,CTAS,Nasdaq,0531,Large accelerated filer,6800 CINTAS BLVD,45262
ACCURAY INC,ARAY,1138723,Surgical & Medical Instruments & Apparatus,3841,MADISON,WI,608-824-2800,,6,"""SAP S/4HANA""",10-Q,2026-02-17,"Madison, WI",WI,DE,ARAY,Nasdaq,0630,Accelerated filer<br>Smaller reporting company,1240 DEMING WAY,53717
OPEN TEXT CORP,OTEX,1002638,Services-Computer Integrated Systems Design,7373,ONTARIO CANADA,A6,519-888-7111,,6,"""SAP S/4HANA"" | ""SAP SuccessFactors""",10-K,2025-08-07,"Ontario Canada, A6",A6,A6,OTEX,Nasdaq,0630,Large accelerated filer,275 FRANK TOMPA DRIVE,N2L 0A1
"Stran & Company, Inc.",SWAG,1872525,Services-Advertising Agencies,7311,QUINCY,MA,8008333309,,5,"""SAP ERP""",10-K,2026-03-25,"Quincy, MA",MA,NV,"SWAG,SWAGW","Nasdaq,Nasdaq",1231,<br>Emerging growth company,2 HERITAGE DRIVE,02171
FMC CORP,FMC,37785,Chemicals & Allied Products,2800,PHILADELPHIA,PA,215-299-6668,,5,"""SAP system""",10-K,2024-02-27,"Philadelphia, PA",PA,DE,FMC,NYSE,1231,Large accelerated filer,2929 WALNUT STREET,19104
SPS COMMERCE INC,SPSC,1092699,Services-Prepackaged Software,7372,MINNEAPOLIS,MN,612-435-9400,,5,"""SAP Business One""",10-Q,2026-02-19,"Minneapolis, MN",MN,DE,SPSC,Nasdaq,1231,Large accelerated filer,333 SOUTH SEVENTH STREET,55402
"Alight, Inc. / Delaware",ALIT,1809104,"Services-Business Services, NEC",7389,CHICAGO,IL,(224) 737-7000,,5,"""SAP SuccessFactors""",10-K,2024-02-29,"Lincolnshire, IL",IL,DE,ALIT,NYSE,1231,Large accelerated filer,320 SOUTH CANAL STREET,60606
WATTS WATER TECHNOLOGIES INC,WTS,795403,Miscellaneous Fabricated Metal Products,3490,NORTH ANDOVER,MA,9786881811,,4,"""SAP ERP"" | ""SAP enterprise""",10-K,2026-02-23,"North Andover, MA",MA,DE,WTS,NYSE,1231,Large accelerated filer,815 CHESTNUT ST,01845
"Fossil Group, Inc.",FOSL,883569,"Watches, Clocks, Clockwork Operated Devices/Parts",3873,RICHARDSON,TX,9722342525,,4,"""SAP ERP""",10-K,2026-03-12,"Richardson, TX",TX,DE,FOSL,Nasdaq,1231,Accelerated filer<br>Smaller reporting company,901 S CENTRAL EXPRESSWAY,75080
IEH Corp,IEHC,50292,Electronic Connectors,3678,BROOKLYN,NY,7184924440,,4,"""SAP system""",10-K,2025-06-12,"Brooklyn, NY",NY,NY,IEHC,OTC,0331,Non-accelerated filer<br>Smaller reporting company,140 58TH ST BLDG B UNIT 8E,11220
Trulieve Cannabis Corp.,TCNNF,1754195,Medicinal Chemicals & Botanical Products,2833,TALLAHASSEE,FL,8502988866,,4,"""SAP system"" | ""SAP implementation""",10-K/A,2023-04-05,"Quincy, FL",FL,A1,TCNNF,OTC,1231,Large accelerated filer,3494 MARTIN HURST ROAD,32312
NEOGEN CORP,NEOG,711377,In Vitro & In Vivo Diagnostic Substances,2835,LANSING,MI,5173729200,,4,"""SAP enterprise"" | ""SAP implementation""",10-K,2025-07-30,"Lansing, MI",MI,MI,NEOG,Nasdaq,0531,Large accelerated filer,620 LESHER PLACE,48912
"Global Business Travel Group, Inc.",GBTG,1820872,Transportation Services,4700,NEW YORK,NY,212-329-7200,,4,"""SAP Concur""",10-K,2026-03-09,"New York, NY",NY,DE,GBTG,NYSE,1231,Accelerated filer,666 THIRD AVENUE,10017
"AvidXchange Holdings, Inc.",AVDX,1858257,Services-Prepackaged Software,7372,CHARLOTTE,NC,8005609305,,4,"""SAP Concur""",10-Q,2023-11-09,"Charlotte, NC",NC,DE,AVDX,,1231,Large accelerated filer,1210 AVIDXCHANGE LANE,28206
"C3.ai, Inc.",AI,1577526,Services-Prepackaged Software,7372,REDWOOD CITY,CA,650-503-2200,,3,"""SAP ERP""",10-K,2025-06-23,"Redwood City, CA",CA,DE,AI,NYSE,0430,Large accelerated filer,1400 SEAPORT BLVD,94063
PDF SOLUTIONS INC,PDFS,1120914,Services-Prepackaged Software,7372,SANTA CLARA,CA,4082807900,,3,"""SAP S/4HANA""",10-K,2025-02-27,"Santa Clara, CA",CA,DE,PDFS,Nasdaq,1231,Large accelerated filer,2858 DE LA CRUZ BOULEVARD,95050
Northwest Natural Holding Co,NWN,1733998,Natural Gas Distribution,4924,PORTLAND,OR,503-226-4211,,3,"""SAP system""",10-K,2025-02-28,"Portland, OR",OR,OR,NWN,NYSE,1231,Large accelerated filer,250 SW TAYLOR STREET,97204
"YETI Holdings, Inc.",YETI,1670592,"Sporting & Athletic Goods, NEC",3949,AUSTIN,TX,(512) 394-9384,,3,"""SAP enterprise""",10-K,2023-08-10,"Austin, TX",TX,DE,YETI,NYSE,0103,Large accelerated filer,7601 SOUTHWEST PARKWAY,78735
MOSAIC CO,MOS,1285785,Agricultural Chemicals,2870,TAMPA,FL,813-775-4200,,3,"""SAP enterprise""",10-K,2026-02-27,"Tampa, FL",FL,,MOS,NYSE,1231,Large accelerated filer,101 EAST KENNEDY BLVD.,33602
"TreeHouse Foods, Inc.",THS,1320695,"Canned, Frozen & Preservd Fruit, Veg & Food Specialties",2030,OAK BROOK,IL,7084095315,,3,"""SAP enterprise""",10-K,2025-02-14,"Oak Brook, IL",IL,DE,THS,NYSE,1231,Large accelerated filer,2021 SPRING ROAD,60523
"Five9, Inc.",FIVN,1288847,Services-Computer Processing & Data Preparation,7374,SAN RAMON,CA,9252012000,,3,"""SAP Ariba""",10-K,2026-02-20,"San Ramon, CA",CA,DE,FIVN,Nasdaq,1231,Large accelerated filer,3001 BISHOP DRIVE,94583
LAKELAND INDUSTRIES INC,LAKE,798081,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",3842,HUNTSVILLE,AL,800-645-9291,,2,"""SAP ERP"" | ""SAP enterprise""",10-K,2025-04-17,"Huntsville, AL",AL,DE,LAKE,Nasdaq,0131,Accelerated filer<br>Smaller reporting company,"1525 PERIMETER PARKWAY, SUITE 325",35806
"V2X, Inc.",VVX,1601548,Services-Facilities Support Management Services,8744,RESTON,VA,(571) 481-2000,,2,"""SAP S/4HANA""",10-K,2026-02-23,"Reston, VA",VA,IN,VVX,NYSE,1231,Large accelerated filer,2100 RESTON PARKWAY,
DELUXE CORP,DLX,27996,"Blankbooks, Looseleaf Binders & Bookbindg & Relatd Work",2780,MINNEAPOLIS,MN,6514837111,,2,"""SAP S/4HANA"" | ""SAP platform""",10-Q,2023-05-09,"Minneapolis, MN",MN,MN,DLX,NYSE,1231,Large accelerated filer,801 S. MARQUETTE AVE.,55402
